Date,State,Category,Dollars,LastYear
2020-03-22,California,Alcohol,183006141,134573673
2020-03-29,California,Alcohol,164531206,138829294
2020-04-05,California,Alcohol,177218211,135764657
2020-04-12,California,Alcohol,174495739,141865484
2020-04-19,California,Alcohol,180334398,154913939
2020-04-26,California,Alcohol,194109719,141645218
2020-05-03,California,Alcohol,199728359,144803027
2020-05-10,California,Alcohol,212244260,145768711
2020-05-17,California,Alcohol,194462488,137132245
2020-05-24,California,Alcohol,216884612,151916713
2020-05-31,California,Alcohol,197225098,146967165
2020-06-07,California,Alcohol,190873887,152674137
2020-06-14,California,Alcohol,192636294,159711086
2020-06-21,California,Alcohol,199663834,149033025
2020-06-28,California,Alcohol,186482363,155181257
2020-07-05,California,Alcohol,221783261,190550213
2020-07-12,California,Alcohol,183987063,148767320
2020-07-19,California,Alcohol,186830351,153525436
2020-07-26,California,Alcohol,184982530,155544756
2020-08-02,California,Alcohol,186891119,155805439
2020-08-09,California,Alcohol,185201626,153578463
2020-08-16,California,Alcohol,190977382,155317387
2020-08-23,California,Alcohol,185627312,152250800
2020-08-30,California,Alcohol,180861370,169137412
2020-09-06,California,Alcohol,199200133,152976766
2020-09-13,California,Alcohol,177563863,150249002
2020-09-20,California,Alcohol,178873093,146583851
2020-09-27,California,Alcohol,177049288,143619209
2020-10-04,California,Alcohol,178988047,146609185
2020-10-11,California,Alcohol,170616934,146122443
2020-10-18,California,Alcohol,175088480,144265080
2020-10-25,California,Alcohol,169109774,151820824
2020-11-01,California,Alcohol,183364084,151656022
2020-11-08,California,Alcohol,164486459,144668814
2020-11-15,California,Alcohol,163272157,144524924
2020-11-22,California,Alcohol,186977625,163549694
2020-11-29,California,Alcohol,198686553,183655260
2020-12-06,California,Alcohol,160068076,137123612
2020-12-13,California,Alcohol,169474480,153006107
2020-12-20,California,Alcohol,192483585,199527413
2020-12-27,California,Alcohol,219543867,199046326
2021-01-03,California,Alcohol,195655462,150937628
2021-01-10,California,Alcohol,144156659,124131880
2021-01-17,California,Alcohol,158779353,132572163
2021-01-24,California,Alcohol,156395362,130744671
2021-01-31,California,Alcohol,151758614,151164863
2021-02-07,California,Alcohol,170491066,134081261
2021-02-14,California,Alcohol,165280587,145050058
2021-02-21,California,Alcohol,155143288,136733762
2021-02-28,California,Alcohol,159988449,139733044
2021-03-07,California,Alcohol,161038243,143678451
2021-03-14,California,Alcohol,159222779,183589466
2021-03-21,California,Alcohol,166169034,183064974
2021-03-28,California,Alcohol,167352499,164578773
2021-04-04,California,Alcohol,182532174,177272035
2021-04-11,California,Alcohol,165749979,174558838
2021-04-18,California,Alcohol,164241022,180397200
2021-04-25,California,Alcohol,161276701,194196331
2021-05-02,California,Alcohol,170267548,199813588
2021-05-09,California,Alcohol,180402876,212354649
2021-05-16,California,Alcohol,165687574,194543481
2021-05-23,California,Alcohol,167213888,216996369
2021-05-30,California,Alcohol,192840079,197323626
2021-06-06,California,Alcohol,178115560,190980570
2021-06-13,California,Alcohol,175127549,192750119
2021-06-20,California,Alcohol,189041522,199892803
2021-06-27,California,Alcohol,174541264,186616602
2021-07-04,California,Alcohol,207895390,222097887
2021-07-11,California,Alcohol,178418777,184235541
